tiempo_entrega,calidad_producto,atencion_cliente,precio_expectativa,tipo_cliente,satisfaccion
5.993428306022466,6.7565074836168915,8.862579509961634,2.4468390644347737,VIP,81.9298374127756
4.72347139765763,7.159728439704546,5.840102416480274,8.36170321707156,Nuevo,77.28803053547955
6.295377076201385,9.120940407684893,9.065290656190188,8.489207601619677,VIP,100.0
8.046059712816051,8.915555398150197,9.940148145848912,5.567209603847526,Ocasional,100.0
4.531693250553328,7.968647609053778,8.244182825802662,1.0574728454515023,VIP,82.48032957306579
4.531726086101639,8.175991074963173,10.0,3.583343198574215,Frecuente,91.38365652427566
8.158425631014783,9.916497343682638,6.107179441613568,6.55234226538168,Ocasional,92.99646376005452
6.534869458305818,7.112642916746255,5.259621534039449,9.830675602246812,Frecuente,80.61182516370592
4.061051228130096,8.820646071755057,4.298303551972298,6.686321743150016,VIP,87.14057067527463
6.085120087171929,7.6967110213491585,10.0,3.338232229577438,Ocasional,95.10418274136526
4.0731646143750755,7.67347819515917,8.677858181437305,6.706051327896502,Ocasional,94.24335481552853
4.068540492859486,9.648165277980786,7.399947592361181,5.8598684174427,Frecuente,100.0
5.483924543132068,9.238124523482044,8.003943527375677,8.018608556360292,Frecuente,100.0
1.1734395106844042,9.220264454000958,5.474119714862923,1.9628257494426258,Frecuente,90.96357705556
1.5501643349739345,9.958218210731493,10.0,7.849251122518252,Frecuente,100.0
3.8754249415180544,8.031505762449138,7.732598127555409,5.871399208084992,Ocasional,91.17587029906646
2.9743377593311524,9.022929456942446,7.696910630288807,9.666928034730951,Frecuente,100.0
5.628494665190548,7.534599865109816,8.806379923017646,4.076849494348175,Nuevo,85.66319691277684
3.1839518489575784,8.486249528732664,8.365816617126084,6.693597038205533,Ocasional,100.0
2.175392597329417,7.804785418448473,7.902991243702436,9.388252949590157,Nuevo,100.0
7.931297537843108,8.145493947489078,6.077145980198439,1.9225875519161133,Ocasional,68.24735689387089
4.548447399026928,8.892735538155371,8.348643042844792,9.43505638512806,Ocasional,100.0
5.1350564093758475,6.7726689751497915,10.0,7.19097150070732,Ocasional,98.13997936373164
2.1505036275730864,10.0,9.92175608307896,1.610533531946547,Frecuente,100.0
3.9112345509496347,6.4909739277504475,10.0,3.708672102521346,Ocasional,100.0
5.2218451794197325,6.1787170808184015,6.579811782423866,7.373548797807534,Ocasional,79.97707124655703
2.6980128451553944,9.737166310250101,5.718711323534555,1.6061554132189453,Nuevo,84.85234137979988
5.751396036691344,9.187494040944404,7.273583543820633,6.23953414158646,Ocasional,94.18008608242798
